Exercise_Name,muscle_gp,Equipment,Rating,Description
Barbell Curl,Biceps,Barbell,9,Average
EZ-Bar Skullcrusher,Triceps,E-Z Curl Bar,9,Average
One-Arm Dumbbell Row,Middle Back,Dumbbell,9,Average
Alternating standing shoulder press,Shoulders,Dumbbell,9,Average
Concentration curl,Biceps,Dumbbell,9,Average
Decline Crunch,Abdominals,Body Only,9,Average
Decline Dumbbell Flyes,Chest,Dumbbell,9,Average
Single-arm incline rear delt raise,Shoulders,Dumbbell,9,Average
Alternating dumbbell front raise,Shoulders,Dumbbell,9,Average
Hanging toes-to-bar,Abdominals,Body Only,9,Average
Narrow-stance squat,Quadriceps,Barbell,9,Average
Kneeling cable oblique crunch,Abdominals,Cable,9,Average
Reverse Grip Triceps Pushdown,Triceps,Cable,9,Average
Bear crawl sled drag,Quadriceps,Other,9,Average
Rocky Pull-Ups/Pulldowns,Lats,Other,9,Average
Snatch-Grip Behind-The-Neck Overhead Press,Shoulders,Barbell,9,Average
Box Squat with Bands,Quadriceps,Barbell,9,Average
Flexor Incline Dumbbell Curls,Biceps,Dumbbell,9,Average
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms,Dumbbell,9,Average
Thigh adductor,Adductors,Machine,9,Average
Machine Bicep Curl,Biceps,Machine,9,Average
Seated Palms-Down Barbell Wrist Curl,Forearms,,9,Average
Single-arm incline rear delt raise,Shoulders,Dumbbell,9,Average
Alternating dumbbell front raise,Shoulders,Dumbbell,9,Average
Hanging toes-to-bar,Abdominals,Body Only,9,Average
Narrow-stance squat,Quadriceps,Barbell,9,Average
Kneeling cable oblique crunch,Abdominals,Cable,9,Average
Reverse Grip Triceps Pushdown,Triceps,Cable,9,Average
Bear crawl sled drag,Quadriceps,Other,9,Average
Rocky Pull-Ups/Pulldowns,Lats,Other,9,Average
Snatch-Grip Behind-The-Neck Overhead Press,Shoulders,Barbell,9,Average
Box Squat with Bands,Quadriceps,Barbell,9,Average
Flexor Incline Dumbbell Curls,Biceps,Dumbbell,9,Average
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms,Dumbbell,9,Average
Machine Bicep Curl,Biceps,Machine,9,Average
Seated Palms-Down Barbell Wrist Curl,Forearms,,9,Average
Car driver,Shoulders,Other,9,Average
Alternating Deltoid Raise,Shoulders,Dumbbell,9,Average
Hanging Oblique Knee Raise,Abdominals,Body Only,9,Average
Bodyweight Flyes,Chest,E-Z Curl Bar,9,Average
Standing Calf Raises,Calves,Machine,9,Average
Push-Ups - Close Triceps Position,Triceps,Body Only,9,Average
One-Arm Long Bar Row,Middle Back,Barbell,9,Average
Overhead cable curl,Biceps,Cable,9,Average
Single-dumbbell front raise,Shoulders,Dumbbell,9,Average
Incline cable chest fly,Chest,Cable,9,Average
Single-leg depth squat,Quadriceps,Bands,9,Average
Dumbbell suitcase crunch,Abdominals,Medicine Ball,9,Average
Plate Twist,Abdominals,Other,9,Average
Single-leg cable hip extension,Glutes,Cable,9,Average
Weighted Jump Squat,Quadriceps,Barbell,9,Average
Squat with Chains,Quadriceps,Barbell,9,Average
Gorilla Chin/Crunch,Abdominals,Body Only,9,Average
Kneeling cable triceps extension,Triceps,Cable,9,Average
Kneeling Cable Crunch With Alternating Oblique Twists,Abdominals,Cables,8.9,Average
Bicycling,Quadriceps,Other,8.9,Average
Arnold press,Shoulders,Dumbbell,8.9,Average
Weighted Crunches,Abdominals,Other,8.9,Average
Single-arm cable triceps extension,Triceps,Cable,8.9,Average
Barbell roll-out,Abdominals,Barbell,8.9,Average
Kneeling cable crunch,Abdominals,Cable,8.9,Average
Exercise Ball Pull-In,Abdominals,Exercise Ball,8.9,Average
Hanging leg raise,Abdominals,Body Only,8.9,Average
Barbell Ab Rollout - On Knees,Abdominals,Barbell,8.9,Average
Barbell Squat,Quadriceps,Barbell,8.9,Average
Decline barbell bench press,Chest,Barbell,8.9,Average
Dumbbell Bicep Curl,Biceps,Dumbbell,8.9,Average
Dumbbell Goblet Squat,Quadriceps,Dumbbell,8.9,Average
Dumbbell squat,Quadriceps,Dumbbell,8.9,Average
Barbell front squat,Quadriceps,Barbell,8.9,Average
Close-grip pull-down,Lats,Cable,8.9,Average
Triceps Pushdown - Rope Attachment,Triceps,Cables,8.9,Average
Side-to-side box skip,Quadriceps,Body Only,8.9,Average
Smith machine shoulder press,Shoulders,Machine,8.9,Average
Seated triceps press,Triceps,Dumbbell,8.9,Average
Dumbbell Lying Supination,Forearms,,8.9,Average
Pull-up,Lats,Body Only,8.9,Average
Wide-grip bench press,Chest,Barbell,8.9,Average
Close-grip EZ-bar curl,Biceps,Barbell,8.9,Average
T-Bar Row,Middle Back,Other,8.9,Average
Bent Over Two-Arm Long Bar Row,Middle Back,Barbell,8.9,Average
Muscle Up,Lats,Body Only,8.9,Average
Machine shoulder press,Shoulders,Machine,8.9,Average
Incline EZ-bar skullcrusher,Triceps,Barbell,8.9,Average
Alternating sit-through with crunch,Middle Back,Other,8.9,Average
Wide-Grip Decline Barbell Bench Press,Chest,Barbell,8.9,Average
Rower,Middle Back,Machine,8.9,Average
Snatch Deadlift,Hamstrings,Barbell,8.9,Average
Front Plate Raise,Shoulders,Other,8.9,Average
Decline Close-Grip Bench To Skull Crusher,Triceps,Barbell,8.9,Average
Lying Leg Curls,Hamstrings,Machine,8.9,Average
Cross-body hammer curl,Biceps,Dumbbell,8.9,Average
Shotgun row,Lats,Cable,8.9,Average
Ab Roller,Abdominals,Other,8.9,Average
Reverse-grip incline dumbbell bench press,Chest,Dumbbell,8.9,Average
Leg Press,Quadriceps,Machine,8.8,Average
Stiff-Legged Dumbbell Deadlift,Hamstrings,Dumbbell,8.8,Average
Cable Crossover,Chest,Cable,8.8,Average
Barbell Incline Bench Press Medium-Grip,Chest,Barbell,8.8,Average
Incline Dumbbell Flyes,Chest,Dumbbell,8.8,Average
Seated Cable Rows,Middle Back,Cable,8.8,Average
Tricep Dumbbell Kickback,Triceps,Dumbbell,8.8,Average
Otis-Up,Abdominals,Other,8.8,Average
Mountain climber,Abdominals,Body Only,8.8,Average
Ab bicycle,Abdominals,Body Only,8.8,Average
Barbell forward lunge,Quadriceps,Barbell,8.8,Average
3/4 sit-up,Abdominals,Body Only,8.8,Average
Exercise ball leg curl,Hamstrings,Exercise Ball,8.8,Average
Glute bridge,Glutes,Body Only,8.8,Average
Close-Grip Front Lat Pulldown,Lats,Cable,8.8,Average
Dip Machine,Triceps,Cable,8.8,Average
Incline dumbbell row,Middle Back,Dumbbell,8.8,Average
Dumbbell Lunges,Quadriceps,Dumbbell,8.8,Average
Single-arm standing shoulder press,Shoulders,Dumbbell,8.8,Average
Preacher Curl,Biceps,Barbell,8.8,Average
Reverse crunch,Abdominals,Body Only,8.8,Average
Standing Dumbbell Triceps Extension,Triceps,Dumbbell,8.8,Average
Elliptical trainer,Quadriceps,Machine,8.8,Average
Bodyweight squat,Quadriceps,Body Only,8.8,Average
Bent Over Two-Dumbbell Row With Palms In,Middle Back,Dumbbell,8.8,Average
Hex-bar deadlift,Quadriceps,Other,8.8,Average
Narrow-stance leg press,Quadriceps,Machine,8.8,Average
Single-leg glute bridge,Glutes,Body Only,8.8,Average
Barbell Curls Lying Against An Incline,Biceps,Barbell,8.8,Average
Standing Hip Circles,Abductors,Body Only,8.8,Average
Clam,Abductors,,8.8,Average
Narrow Stance Hack Squats,Quadriceps,Machine,8.8,Average
Seated Close-Grip Concentration Barbell Curl,Biceps,Barbell,8.8,Average
Dumbbell Lying Pronation,Forearms,,8.8,Average
Smith machine box squat,Quadriceps,Barbell,8.8,Average
Drop Push,Chest,Other,8.8,Average
Upside-down pull-up,Middle Back,Other,8.8,Average
Reverse Barbell Preacher Curls,Biceps,E-Z Curl Bar,8.8,Average
Close-grip EZ-bar bench press,Chest,E-Z Curl Bar,8.8,Average
Incline Push-Up,Chest,Body Only,8.8,Average
Hyperextensions With No Hyperextension Bench,Lower Back,Body Only,8.8,Average
Dumbbell front raise,Shoulders,Dumbbell,8.8,Average
Parallel Bar Dip,Triceps,Body Only,8.8,Average
Stairmaster,Quadriceps,Machine,8.8,Average
Double Leg Butt Kick,Quadriceps,,8.8,Average
Groiners,Adductors,Body Only,8.8,Average
Neck Press,Chest,Barbell,8.8,Average
Broad jump,Quadriceps,Body Only,8.8,Average
Machine Squat,Quadriceps,Machine,8.8,Average
V-bar pull-up,Lats,,8.8,Average
Ring dip,Triceps,Body Only,8.8,Average
Standing One-Arm Cable Curl,Biceps,Cable,8.8,Average
Burpee,Quadriceps,Body Only,8.8,Average
Double-arm triceps kick-back,Triceps,Dumbbell,8.8,Average
Dumbbell reverse lunge,Quadriceps,Dumbbell,8.7,Average
Seated Calf Raise,Calves,Machine,8.7,Average
Standing dumbbell shrug,Traps,Dumbbell,8.7,Average
Calf Press On The Leg Press Machine,Calves,Machine,8.7,Average
Barbell step-up,Quadriceps,Barbell,8.7,Average
Feet-elevated bench dip,Triceps,Body Only,8.7,Average
Bent Over Barbell Row,Middle Back,Barbell,8.7,Average
Crunches,Abdominals,Body Only,8.7,Average
Dumbbell Alternate Bicep Curl,Biceps,Dumbbell,8.7,Average
Bent-over dumbbell rear delt row,Shoulders,Dumbbell,8.7,Average
External Rotation with Cable,Shoulders,Cables,8.7,Average
Handstand push-up,Shoulders,Body Only,8.7,Average
Single-arm dumbbell preacher curl,Biceps,Dumbbell,8.7,Average
Step-up with knee raise,Glutes,Body Only,8.7,Average
Smith machine back squat,Quadriceps,Machine,8.7,Average
Incline dumbbell front raise,Shoulders,Dumbbell,8.7,Average
Alternate Incline Dumbbell Curl,Biceps,Dumbbell,8.7,Average
Standing dumbbell upright row,Traps,Dumbbell,8.7,Average
Single-arm cable front raise,Shoulders,Cable,8.7,Average
Two-Arm Kettlebell Military Press,Shoulders,Kettlebells,8.7,Average
Incline cable chest press,Chest,Cable,8.7,Average
Rope climb,Lats,Body Only,8.7,Average
Single-arm dumbbell preacher curl,Biceps,Dumbbell,8.7,Average
Step-up with knee raise,Glutes,Body Only,8.7,Average
Incline dumbbell front raise,Shoulders,Dumbbell,8.7,Average
Rope climb,Lats,Body Only,8.7,Average
Trail Running/Walking,Quadriceps,Body Only,8.7,Average
Standing Bradford press,Shoulders,Barbell,8.7,Average
Neutral-grip dumbbell bench press,Chest,Dumbbell,8.7,Average
Cable Chest Press,Chest,Cable,8.7,Average
Standing concentration curl,Biceps,Dumbbell,8.7,Average
Wide-Grip Rear Pull-Up,Lats,Body Only,8.7,Average
Kettlebell pass-through lunge,Hamstrings,Kettlebells,8.7,Average
Hands-elevated push-up,Chest,Body Only,8.7,Average
Deadlift with Bands,Lower Back,Barbell,8.7,Average
Straight-arm rope pull-down,Lats,Cable,8.7,Average
Barbell Shoulder Press,Shoulders,Barbell,8.7,Average
Power clean,Hamstrings,Barbell,8.7,Average
Hang Snatch,Hamstrings,Barbell,8.7,Average
Kettlebell sumo deadlift high pull,Traps,Kettlebells,8.7,Average
Calf-Machine Shoulder Shrug,Traps,Machine,8.7,Average
Bench Press - Powerlifting,Triceps,Barbell,8.7,Average
